month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
09,07,1900,2,night,fall,approach,N,none,unknown,1,1,small,TRUE,FALSE,0
06,09,0,2,night,summer,landingroll,N,none,unknown,1,1,small,TRUE,FALSE,0
05,25,0,2,day,spring,landingroll,N,none,nocloud,1,1,small,TRUE,FALSE,0
01,31,0,2,day,winter,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,03,400,2,day,winter,climb,M?,precautionarylanding,unknown,1,1,medium,TRUE,TRUE,0
02,06,0,1,day,winter,takeoffrun,N,none,somecloud,1,1,small,TRUE,FALSE,0
02,12,200,2,day,winter,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,14,150,2,day,winter,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,09,150,2,day,winter,approach,N,none,somecloud,2,10,small,TRUE,FALSE,0
02,17,800,1,day,winter,climb,M?,precautionarylanding,somecloud,1,1,medium,TRUE,TRUE,0
02,22,0,2,night,winter,landingroll,N,none,somecloud,1,1,medium,TRUE,FALSE,0
02,16,0,2,day,winter,takeoffrun,U,none,unknown,1,1,small,TRUE,FALSE,0
02,26,100,2,day,winter,approach,N,none,overcast,1,1,small,TRUE,FALSE,0
02,10,10,2,day,winter,climb,N,none,somecloud,1,1,small,TRUE,FALSE,0
02,12,800,1,day,winter,approach,N,none,overcast,1,1,medium,TRUE,FALSE,0
02,07,50,2,day,winter,climb,N,none,overcast,1,1,medium,TRUE,FALSE,0
02,18,2000,2,night,winter,approach,N,none,overcast,1,1,unknown,TRUE,FALSE,0
02,28,0,2,day,winter,takeoffrun,U,none,overcast,2,10,small,TRUE,FALSE,0
02,11,0,2,day,winter,takeoffrun,N,none,unknown,1,1,large,TRUE,FALSE,0
02,11,800,1,day,winter,approach,N,precautionarylanding,somecloud,1,1,medium,TRUE,FALSE,0
02,10,0,1,day,winter,landingroll,N,none,somecloud,1,1,unknown,TRUE,FALSE,0
02,03,20,2,night,winter,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
02,03,350,1,day,winter,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,11,40,2,day,winter,climb,M?,none,overcast,1,1,medium,TRUE,TRUE,0
02,13,0,2,day,winter,takeoffrun,U,none,nocloud,1,1,unknown,TRUE,FALSE,0
02,14,0,2,day,winter,takeoffrun,N,abortedtakeoff,overcast,1,1,medium,TRUE,FALSE,0
02,15,0,3,night,winter,takeoffrun,N,none,overcast,1,1,large,TRUE,FALSE,0
02,14,500,2,day,winter,approach,M?,none,nocloud,1,1,large,TRUE,TRUE,0
02,16,5,2,day,winter,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
02,12,10,2,day,winter,climb,M?,none,nocloud,2,10,medium,TRUE,TRUE,0
02,17,0,2,unknown,winter,landingroll,N,none,somecloud,1,1,medium,TRUE,FALSE,0
02,19,0,2,night,winter,takeoffrun,U,none,overcast,1,1,small,TRUE,FALSE,0
02,20,900,2,day,winter,approach,N,none,overcast,1,1,small,TRUE,FALSE,0
02,20,8000,2,night,winter,climb,N,none,somecloud,1,1,large,TRUE,FALSE,0
02,25,50,2,day,winter,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,26,950,2,day,winter,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
02,26,10,2,day,winter,climb,N,precautionarylanding,overcast,1,1,medium,TRUE,FALSE,0
02,25,0,2,night,winter,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
02,06,0,2,day,winter,landingroll,N,none,unknown,1,1,small,TRUE,FALSE,0
04,24,400,2,night,spring,climb,U,none,nocloud,1,1,unknown,TRUE,FALSE,0
